iter	RMSE
192	44883.88914
193	44847.39215
194	44824.60907
195	44786.95178
196	44747.57827
197	44667.8623
198	44632.90716
199	44588.63106
200	44535.25757
201	44495.92583
202	44432.75308
203	44392.26463
204	44347.25609
205	44316.64616
206	44283.17519
207	44253.10271
208	44196.04907
209	44166.33617
210	44112.66294
211	44061.22551
212	44028.73173
213	43992.02046
214	43947.17248
215	43892.72199
216	43862.20244
217	43830.66073
218	43783.5137
219	43742.30077
220	43706.02523
221	43660.53719
222	43626.57039
223	43581.91109
224	43546.42884
225	43505.33252
226	43474.6699
227	43450.98325
228	43424.89757
229	43400.44208
230	43358.80299
231	43342.53521
232	43323.81476
233	43290.46508
234	43253.16864
235	43218.57908
236	43177.60799
237	43162.70998
238	43122.37513
239	43104.58292
240	43079.66718
241	43043.64147
242	43012.02278
243	42965.27586
244	42940.00868
245	42901.24179
246	42846.80554
247	42828.72593
248	42798.03199
249	42773.05198
250	42734.83824
251	42719.52773
252	42694.61628
253	42659.64978
254	42645.27753
255	42610.09152
256	42580.86706
257	42554.5769
258	42509.6028
259	42484.52164
260	42455.80222
261	42430.55594
262	42400.76582
263	42380.25682
264	42353.48805
265	42332.84387
266	42312.56241
267	42287.10531
268	42255.46289
269	42224.60779
270	42198.27985
271	42181.07269
272	42148.9565
273	42133.10972
274	42109.75912
275	42072.3476
276	42051.96096
277	42023.91662
278	41995.40183
279	41964.3747
280	41939.02925
281	41905.55641
282	41877.5214
283	41854.85465
284	41829.34738
285	41808.45143
286	41784.15224
287	41765.00615
288	41754.22538
289	41732.27531
290	41702.79209
291	41680.30717
292	41642.73959
293	41606.06222
294	41592.05835
295	41581.82047
296	41562.15397
297	41543.13885
298	41528.7247
299	41514.36829
300	41504.44811
301	41476.93914
302	41454.43301
303	41434.24806
304	41414.84638
305	41389.30298
306	41370.14793
307	41331.94239
308	41314.6094
309	41286.90155
310	41261.01117
311	41245.2837
312	41223.89455
313	41203.01457
314	41173.30608
315	41155.05153
316	41136.34345
317	41112.75758
318	41096.63119
319	41067.68941
320	41052.80133
321	41030.47394
322	41012.39058
323	40997.59281
324	40971.12639
325	40949.15914
326	40920.6445
327	40901.95362
328	40888.83124
329	40856.30717
330	40830.35843
331	40807.06707
332	40774.2185
333	40760.17174
334	40736.79799
335	40718.74069
336	40691.19218
337	40664.32396
338	40642.57722
339	40625.32401
340	40606.62238
341	40585.03455
342	40568.69051
343	40546.78377
344	40530.25987
345	40500.97671
346	40472.37833
347	40448.99424
348	40416.06848
349	40390.50948
350	40377.74593
351	40357.62114
352	40344.22283
353	40315.51593
354	40296.55678
355	40280.53742
356	40271.35918
357	40256.5536
358	40230.76928
359	40216.21644
360	40202.02704
361	40180.32816
362	40164.32068
363	40147.09716
364	40125.66315
365	40107.2928
366	40084.1976
367	40067.32105
368	40054.79675
369	40040.28701
370	40022.01153
371	39989.19239
372	39976.09506
373	39957.91027
374	39938.2648
375	39918.66694
376	39906.48312
377	39890.80368
378	39865.17921
379	39857.98525
380	39830.66676
381	39815.49005
382	39788.17998
383	39767.48156
384	39752.9573
385	39738.56186
386	39720.09123
387	39686.14425
388	39663.28154
389	39647.29689
390	39636.25319
391	39619.56907
392	39602.03796
393	39582.74488
394	39564.88067
395	39547.27548
396	39533.4484
397	39521.15535
398	39495.73208
399	39474.15188
400	39465.98015
401	39437.6587
402	39427.34711
403	39411.7172
404	39394.20642
405	39373.50782
406	39360.1712
407	39331.77383
408	39311.1418
409	39284.58913
410	39274.78485
411	39253.44038
412	39239.53478
413	39223.43105
414	39202.70109
415	39187.52567
416	39177.93972
417	39161.60576
418	39139.82169
419	39132.16007
420	39122.19178
421	39111.94636
422	39093.40582
423	39073.24196
424	39059.92566
425	39043.45402
426	39027.72604
427	39006.97059
428	38990.93862
429	38976.42146
430	38959.99056
431	38939.07081
432	38916.25836
433	38909.56792
434	38896.71561
435	38881.74201
436	38868.87182
437	38855.7187
438	38843.71374
439	38830.98094
440	38805.13535
441	38779.16193
442	38756.25994
443	38744.69279
444	38737.60142
445	38730.3507
446	38718.43259
447	38703.36405
448	38691.5384
449	38675.84659
450	38653.79292
451	38648.39038
452	38635.69229
453	38610.98521
454	38586.89135
455	38570.95014
456	38553.16527
457	38534.86221
458	38523.0659
459	38514.06413
460	38497.79266
461	38480.25991
462	38455.77222
463	38439.53258
464	38425.53075
465	38414.36162
466	38402.58258
467	38389.74954
468	38374.1032
469	38357.16184
470	38340.92351
471	38332.01889
472	38320.22462
473	38307.26148
474	38297.67669
475	38275.72296
476	38260.46282
477	38253.20015
478	38230.77817
479	38219.10895
480	38200.27992
481	38190.20435
482	38178.65413
483	38172.0639
484	38153.60601
485	38141.46221
486	38131.06815
487	38115.35383
488	38093.86548
489	38052.94793
490	38038.96003
491	38020.32312
492	37998.39726
493	37988.82462
494	37973.13834
495	37961.49934
496	37954.3542
497	37931.74683
498	37921.11896
499	37913.44167
500	37902.32081
501	37888.42659
502	37879.13632
503	37870.16035
504	37858.50765
505	37844.39312
506	37827.24416
507	37813.97475
508	37795.29773
509	37770.40998
510	37763.36415
511	37753.67379
512	37741.22486
513	37726.33051
514	37717.96028
515	37709.99341
516	37691.50285
517	37683.76609
518	37673.10362
519	37663.06377
520	37653.73415
521	37636.35715
522	37618.70902
523	37610.15568
524	37595.04938
525	37580.36781
526	37562.85412
527	37552.3982
528	37530.11158
529	37512.02525
530	37493.48647
531	37480.77158
532	37467.12828
533	37448.38131
534	37430.58192
535	37408.973
536	37399.45324
537	37387.58424
538	37377.53587
539	37359.18328
540	37343.2684
541	37323.76006
542	37307.81153
543	37295.45013
544	37273.32342
545	37258.23906
546	37251.09526
547	37239.34806
548	37226.77991
549	37210.85795
550	37197.93231
551	37173.12889
552	37157.76793
553	37148.76596
554	37134.7992
555	37126.71272
556	37112.22019
557	37102.34695
558	37090.30761
559	37083.68434
560	37071.21603
561	37058.05618
562	37047.37491
563	37040.87297
564	37028.3352
565	37019.83781
566	37009.04849
567	36999.61722
568	36988.02853
569	36971.83039
570	36960.28752
571	36948.36374
572	36926.81942
573	36906.5075
574	36889.25204
575	36882.35223
576	36869.26044
577	36848.55955
578	36836.30075
579	36822.36941
580	36808.28431
581	36801.01309
582	36789.23562
583	36773.22715
584	36764.9947
585	36756.18287
586	36742.99512
587	36729.07365
588	36712.82842
589	36683.72723
590	36674.01237
591	36658.53428
592	36635.32496
593	36613.35085
594	36604.54498
595	36591.18649
596	36579.08428
597	36564.83622
598	36551.29092
599	36537.00947
600	36523.64955
601	36513.53146
602	36495.28767
603	36481.61321
604	36468.31442
605	36454.60382
606	36442.61186
607	36428.49489
608	36418.1023
609	36396.98937
610	36386.80113
611	36374.28407
612	36361.37184
613	36342.68883
614	36337.96327
615	36320.09327
616	36313.67947
617	36303.70548
618	36295.53372
619	36282.25924
620	36275.14977
621	36269.8993
622	36250.47095
623	36233.99255
624	36222.56381
625	36207.6471
626	36193.53079
627	36176.75706
628	36162.50374
629	36152.96185
630	36139.29551
631	36122.88186
632	36106.3868
633	36097.323
634	36076.88942
635	36064.66885
636	36049.69269
637	36043.6646
638	36035.27758
639	36023.94047
640	36014.2953
641	36009.58467
642	36004.85161
643	35986.54682
644	35976.98259
645	35962.68527
646	35951.07319
647	35935.31165
648	35925.05864
649	35908.90245
650	35897.43706
651	35889.33771
652	35880.32425
653	35874.15191
654	35858.93714
655	35853.45981
656	35841.27307
657	35832.62642
658	35823.29983
659	35814.84042
660	35806.5321
661	35793.00291
662	35783.07757
663	35773.1008
664	35743.67142
665	35737.37194
666	35730.06059
667	35718.9673
668	35708.21913
669	35694.27028
670	35691.12759
671	35680.36261
672	35672.6035
673	35665.08763
674	35642.04291
675	35625.08031
676	35620.89774
677	35613.33502
678	35605.67771
679	35589.52129
680	35580.90246
681	35578.01701
682	35570.79091
683	35555.08828
684	35542.25359
685	35529.13468
686	35516.08036
687	35502.3058
688	35485.1904
689	35480.53101
690	35465.90722
691	35445.87711
692	35426.90057
693	35411.02549
694	35394.18679
695	35381.68917
696	35370.71856
697	35359.93985
698	35349.58619
699	35334.20404
700	35325.73075
701	35316.13155
702	35307.39313
703	35295.1604
704	35289.1962
705	35276.80053
706	35265.4316
707	35256.43628
708	35241.54323
709	35232.36647
710	35225.52286
711	35216.67981
712	35204.95551
713	35193.79723
714	35185.98322
715	35174.02379
716	35161.41372
717	35149.1168
718	35135.58534
719	35127.60936
720	35120.86002
721	35103.52946
722	35088.43124
723	35076.64683
724	35070.14523
725	35058.33311
726	35049.3592
727	35037.28147
728	35026.34505
729	35016.71739
730	35004.39549
731	34992.96964
732	34980.89978
733	34971.67371
734	34953.3037
735	34945.14497
736	34928.78681
737	34915.09712
738	34902.95241
739	34893.98772
740	34889.78895
741	34874.37267
742	34864.24592
743	34850.80372
744	34846.79638
745	34838.51357
746	34823.50853
747	34807.88229
748	34794.63556
749	34784.97164
750	34766.85662
751	34759.33067
752	34748.40601
753	34737.26725
754	34718.88781
755	34710.07796
756	34695.46502
757	34675.90348
758	34672.55623
759	34665.3353
760	34650.49489
761	34638.5698
762	34628.38002
763	34622.70279
764	34614.84065
765	34609.05901
766	34594.22934
767	34585.20784
768	34578.09384
769	34567.33811
770	34559.51975
771	34549.99733
772	34541.05576
773	34532.82064
774	34527.37749
775	34519.47397
776	34510.04648
777	34496.71596
778	34479.69111
779	34466.93919
780	34457.25468
781	34434.02438
782	34429.20578
783	34420.89136
784	34414.53984
785	34401.19041
786	34387.52115
787	34376.53323
788	34367.96655
789	34360.46027
790	34352.67566
791	34335.02027
792	34328.39072
793	34318.03041
794	34312.92061
795	34298.44261
796	34276.93315
797	34274.63121
798	34266.61402
799	34258.45788
800	34253.43678
801	34247.30767
802	34241.95692
803	34228.81917
804	34220.31434
805	34213.00182
806	34195.68765
807	34184.30736
808	34174.63172
809	34156.37044
810	34145.37545
811	34134.17145
812	34128.41014
813	34114.80741
814	34112.18809
815	34104.58252
816	34099.52281
817	34093.99652
818	34084.96117
819	34074.26046
820	34068.07237
821	34054.20074
822	34045.88683
823	34041.13715
824	34030.25139
825	34023.49605
826	34013.85503
827	34001.82758
828	33989.59254
829	33977.74967
830	33962.36309
831	33947.2838
832	33936.93484
833	33925.70251
834	33913.23952
835	33907.80344
836	33900.68803
837	33891.13122
838	33876.09107
839	33869.25292
840	33855.51908
841	33841.12313
842	33837.09566
843	33834.69508
844	33831.87009
845	33823.3001
846	33808.8497
847	33801.95558
848	33793.95599
849	33786.83569
850	33775.77252
851	33767.05266
852	33757.80831
853	33745.27943
854	33738.27936
855	33733.09124
856	33718.25091
857	33710.44541
858	33702.3121
859	33694.48597
860	33688.01748
861	33678.86524
862	33667.07628
863	33651.74323
864	33637.3769
865	33626.66132
866	33618.12117
867	33605.74651
868	33603.13902
869	33596.57388
870	33588.43018
871	33574.85411
872	33569.91488
873	33560.80885
874	33546.56035
875	33538.68542
876	33524.57841
877	33518.37897
878	33498.21299
879	33488.32698
880	33481.0173
881	33467.88303
882	33458.89492
883	33446.22718
884	33435.34761
885	33424.46792
886	33416.78647
887	33407.9686
888	33397.957
889	33386.82902
890	33378.6821
891	33376.12289
892	33359.85937
893	33342.6231
894	33332.78036
895	33326.73276
896	33319.83493
897	33316.63143
898	33309.58011
899	33296.5435
900	33282.091
901	33264.86406
902	33260.45213
903	33250.56338
904	33241.10451
905	33232.81295
906	33222.91558
907	33210.92004
908	33200.41683
909	33192.60129
910	33182.3505
911	33171.4241
912	33164.75573
913	33154.56217
914	33147.47024
915	33138.78578
916	33125.63284
917	33114.99954
918	33109.68163
919	33099.59195
920	33092.73633
921	33082.3752
922	33074.11333
923	33063.4255
924	33048.96662
925	33040.84349
926	33032.25237
927	33021.75945
928	33011.35295
929	33004.76422
930	32997.11785
931	32988.78718
932	32983.95627
933	32972.37884
934	32966.72993
935	32952.59885
936	32936.74499
937	32930.4734
938	32926.57559
939	32923.43785
940	32914.99052
941	32906.15649
942	32900.39901
943	32895.46956
944	32883.35394
945	32879.17171
946	32865.56041
947	32857.53238
948	32852.09188
949	32842.68528
950	32834.74317
951	32827.44158
952	32813.98698
953	32806.2306
954	32798.89907
955	32785.01398
956	32776.7931
957	32767.11555
958	32753.1892
959	32744.65468
960	32735.48974
961	32732.64684
962	32721.7756
963	32715.67149
964	32710.2243
965	32697.93017
966	32692.2127
967	32676.66544
968	32662.82661
969	32654.16983
970	32645.96244
971	32628.32192
972	32618.95424
973	32610.29992
974	32601.81976
975	32590.09005
976	32582.32913
977	32572.15345
978	32565.50455
979	32560.05017
980	32550.2016
981	32545.31917
982	32534.68012
983	32523.36808
984	32516.48776
985	32508.73917
986	32505.66094
987	32499.9771
988	32491.82454
989	32481.22947
990	32478.45832
991	32469.96599
992	32461.65829
993	32452.56952
994	32442.3035
995	32431.35793
996	32423.21966
997	32416.30356
998	32410.34479
999	32402.12632
