iter	Passed	Remaining
410	3688	5285
411	3695	5274
412	3723	5292
413	3728	5278
414	3745	5279
415	3748	5262
416	3765	5264
417	3771	5251
418	3778	5240
419	3789	5233
420	3804	5232
421	3816	5227
422	3822	5213
423	3836	5212
424	3847	5205
425	3855	5194
426	3866	5188
427	3871	5173
428	3880	5164
429	3884	5149
430	3895	5142
431	3904	5134
432	3913	5124
433	3918	5109
434	3920	5092
435	3935	5090
436	3945	5083
437	3959	5080
438	3966	5068
439	3972	5056
440	3985	5051
441	3992	5039
442	4018	5053
443	4034	5052
444	4036	5034
445	4039	5017
446	4041	4999
447	4055	4997
448	4058	4980
449	4068	4972
450	4082	4970
451	4098	4969
452	4107	4959
453	4112	4946
454	4119	4934
455	4135	4934
456	4145	4925
457	4148	4909
458	4158	4901
459	4161	4885
460	4178	4885
461	4185	4874
462	4195	4866
463	4201	4853
464	4210	4843
465	4216	4832
466	4223	4820
467	4231	4810
468	4234	4794
469	4241	4783
470	4254	4778
471	4258	4763
472	4270	4757
473	4276	4745
474	4281	4731
475	4298	4731
476	4325	4742
477	4329	4728
478	4355	4737
479	4364	4727
480	4392	4739
481	4394	4722
482	4396	4705
483	4398	4689
484	4400	4672
485	4422	4677
486	4425	4661
487	4427	4645
488	4435	4634
489	4440	4621
490	4453	4617
491	4463	4608
492	4466	4593
493	4471	4580
494	4482	4573
495	4486	4559
496	4500	4555
497	4505	4541
498	4521	4539
499	4529	4529
500	4533	4515
501	4543	4507
502	4550	4496
503	4567	4494
504	4576	4486
505	4580	4472
506	4595	4468
507	4600	4455
508	4625	4461
509	4629	4448
510	4634	4435
511	4655	4437
512	4673	4436
513	4679	4424
514	4688	4415
515	4696	4405
516	4701	4392
517	4724	4395
518	4730	4384
519	4739	4374
520	4770	4386
521	4773	4370
522	4775	4355
523	4786	4347
524	4788	4332
525	4801	4326
526	4803	4311
527	4811	4301
528	4821	4292
529	4830	4283
530	4843	4277
531	4854	4270
532	4858	4256
533	4872	4252
534	4877	4238
535	4879	4223
536	4888	4215
537	4893	4202
538	4901	4192
539	4923	4194
540	4933	4186
541	4942	4176
542	4946	4163
543	4957	4155
544	4959	4140
545	4964	4128
546	4971	4117
547	4983	4110
548	4988	4098
549	5002	4092
550	5016	4087
551	5025	4078
552	5031	4067
553	5035	4053
554	5040	4041
555	5047	4031
556	5053	4019
557	5062	4009
558	5066	3996
559	5081	3992
560	5085	3979
561	5093	3969
562	5097	3956
563	5102	3944
564	5107	3932
565	5124	3929
566	5135	3921
567	5146	3914
568	5153	3903
569	5169	3899
570	5184	3895
571	5194	3886
572	5198	3873
573	5202	3860
574	5212	3852
575	5220	3843
576	5231	3835
577	5241	3826
578	5253	3819
579	5258	3808
580	5261	3794
581	5265	3781
582	5279	3775
583	5309	3782
584	5312	3768
585	5314	3754
586	5317	3741
587	5332	3736
588	5348	3731
589	5352	3719
590	5362	3710
591	5369	3700
592	5386	3697
593	5397	3689
594	5399	3675
595	5402	3661
596	5414	3655
597	5418	3642
598	5428	3634
599	5435	3623
600	5446	3616
601	5451	3603
602	5457	3592
603	5467	3584
604	5483	3579
605	5494	3572
606	5501	3562
607	5508	3551
608	5514	3540
609	5527	3533
610	5543	3529
611	5546	3516
612	5548	3503
613	5564	3498
614	5575	3490
615	5587	3483
616	5597	3474
617	5613	3469
618	5622	3460
619	5635	3454
620	5650	3448
621	5663	3441
622	5677	3435
623	5691	3429
624	5702	3421
625	5707	3409
626	5709	3396
627	5725	3391
628	5738	3384
629	5753	3378
630	5767	3372
631	5775	3362
632	5800	3363
633	5803	3350
634	5818	3344
635	5821	3331
636	5831	3323
637	5846	3317
638	5851	3305
639	5853	3292
640	5856	3279
641	5867	3271
642	5870	3259
643	5872	3246
644	5878	3235
645	5900	3233
646	5906	3222
647	5915	3213
648	5925	3204
649	5933	3194
650	5945	3187
651	5950	3176
652	5970	3172
653	5985	3166
654	5998	3159
655	6001	3147
656	6004	3134
657	6016	3126
658	6021	3115
659	6034	3108
660	6037	3096
661	6053	3090
662	6062	3081
663	6068	3070
664	6076	3060
665	6084	3051
666	6094	3042
667	6109	3036
668	6127	3031
669	6136	3022
670	6151	3016
671	6169	3011
672	6176	3000
673	6180	2989
674	6193	2982
675	6208	2975
676	6219	2967
677	6223	2955
678	6226	2943
679	6244	2938
680	6263	2933
681	6282	2929
682	6283	2916
683	6287	2904
684	6306	2900
685	6308	2887
686	6315	2877
687	6323	2867
688	6342	2862
689	6359	2856
690	6374	2850
691	6390	2844
692	6396	2833
693	6408	2825
694	6413	2814
695	6423	2805
696	6425	2793
697	6437	2785
698	6442	2774
699	6447	2763
700	6456	2753
701	6461	2743
702	6473	2734
703	6484	2726
704	6496	2718
705	6501	2707
706	6512	2699
707	6516	2687
708	6522	2676
709	6535	2669
710	6537	2657
711	6547	2648
712	6554	2638
713	6560	2627
714	6567	2617
715	6570	2606
716	6583	2598
717	6586	2586
718	6592	2576
719	6611	2571
720	6615	2559
721	6620	2549
722	6631	2540
723	6633	2528
724	6644	2520
725	6666	2515
726	6668	2504
727	6672	2493
728	6685	2485
729	6687	2473
730	6690	2461
731	6692	2450
732	6704	2442
733	6712	2432
734	6722	2423
735	6731	2414
736	6734	2403
737	6748	2395
738	6759	2387
739	6763	2376
740	6768	2365
741	6770	2354
742	6782	2346
743	6785	2334
744	6792	2325
745	6802	2316
746	6817	2308
747	6819	2297
748	6829	2288
749	6835	2278
750	6840	2268
751	6851	2259
752	6856	2248
753	6863	2239
754	6868	2228
755	6882	2221
756	6896	2213
757	6900	2202
758	6905	2192
759	6910	2182
760	6915	2171
761	6922	2162
762	6925	2151
763	6938	2143
764	6940	2132
765	6948	2122
766	6959	2114
767	6962	2103
768	6966	2092
769	6978	2084
770	6987	2075
771	6991	2064
772	7006	2057
773	7011	2047
774	7024	2039
775	7029	2029
776	7058	2025
777	7060	2014
